SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2022,31/12/2022,776.495862
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2022,31/12/2022,18.634792
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2022,31/12/2022,76.271026
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,49.66969
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2022,31/12/2022,154.705739
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2022,31/12/2022,626.344589
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2022,31/12/2022,357.718634
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2022,31/12/2022,1181.045799
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2022,31/12/2022,1586.355663
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2022,31/12/2022,483.042275
"K, L, M, N72","Financing, Insurance, Real Estate and Business Services",Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2022,31/12/2022,417.566494
N73,"Building Cleaning, Pest Control and Other Support Services",Commercial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2022,31/12/2022,26.593995
N73,"Building Cleaning, Pest Control and Other Support Services",Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2022,31/12/2022,2.958939
N73,"Building Cleaning, Pest Control and Other Support Services",Commercial,Electricity,Electricity,"Pump Systems (for Fluids, etc.)",Stationary Motors,Pumping,Stationary Motive Power,Non-Transport,2022,31/12/2022,26.593995
N73,"Building Cleaning, Pest Control and Other Support Services",Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2022,31/12/2022,2.686095
B,Mining,Industrial,Petrol,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2022,31/12/2022,0.757531
B,Mining,Industrial,Petrol,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2022,31/12/2022,0.000561
C113,Dairy Product Manufacturing,Industrial,Biogas,Renewables,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,43.968
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,76.535176
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,LPG,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,318.062183
A,Unknown,"Agriculture, Forestry and Fishing",Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,445
A,Unknown,"Agriculture, Forestry and Fishing",Natural Gas,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,47.746176
A,Unknown,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,129.197379
B-E,Unknown,Industrial,Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,319.29054
B-E,Unknown,Industrial,Electricity,Electricity,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,303.66536
B-E,Unknown,Industrial,Coal,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,241.064825
B-E,Unknown,Industrial,Natural Gas,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,152.234385
"F-H, I52-I53, J-S",Unknown,Commercial,Biogas,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,260
"F-H, I52-I53, J-S",Unknown,Commercial,Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,2377.78
I52-I53,Unknown,Commercial,Natural Gas,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,253.660464
"F-H, I52-I53, J-S",Unknown,Commercial,Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,3999.050152
"F-H, I52-I53, J-S",Unknown,Commercial,Petrol,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,2199.803742
Z001,Unknown,Residential,Solar,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,364
Z001,Unknown,Residential,Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,209
Z003,Industrial - Unallocated,Industrial,LPG,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,3738.078502
Z003,Industrial - Unallocated,Industrial,Petrol,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,68.16813
Z003,Industrial - Unallocated,Industrial,Biogas,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,50.2616
Z003,Industrial - Unallocated,Industrial,Fuel Oil,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,
Z003,Industrial - Unallocated,Industrial,Geothermal,Renewables,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,
Z003,Industrial - Unallocated,Industrial,Diesel,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,6921.312234
Z003,Industrial - Unallocated,Industrial,Electricity,Electricity,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,
Z003,Industrial - Unallocated,Industrial,Coal,Fossil Fuels,Unknown,Unknown,Unknown,Unknown,Non-Transport,2022,31/12/2022,367.616928
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,1746.678023
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,544.170022
