SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,133.050395
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,16.222835
C14,Wood Product Manufacturing,Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,122.371965
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,102.156682
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,314.481635
C13,"Textile, Leather, Clothing and Footwear Manufacturing",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,94.42824
C21,Primary Metal and Metal Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,Iron and Steel Manufacturing,Iron and Steel,Non-Transport,2020,31/12/2020,514.620345
C21,Primary Metal and Metal Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,1393.988174
C21,Primary Metal and Metal Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Industrial Ovens,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,217.134322
C21,Primary Metal and Metal Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,40.436065
C21,Primary Metal and Metal Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,7.310073
G41,Retail Trade - Food,Commercial,Natural Gas,Fossil Fuels,Cooking Ovens,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2020,31/12/2020,417.238348
G41,Retail Trade - Food,Commercial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,16.643614
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Natural Gas,Fossil Fuels,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,169.381795
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,384.969507
F36,Wholesale Trade - Food,Commercial,Natural Gas,Fossil Fuels,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,9.754052
F36,Wholesale Trade - Food,Commercial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,10.322651
G41,Retail Trade - Food,Commercial,Natural Gas,Fossil Fuels,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,190.115606
H,Accommodation and Food Services,Commercial,Natural Gas,Fossil Fuels,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,401.453059
H,Accommodation and Food Services,Commercial,Natural Gas,Fossil Fuels,Cooking Ovens,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2020,31/12/2020,360.559958
H,Accommodation and Food Services,Commercial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,730.784373
H,Accommodation and Food Services,Commercial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,400.802801
A04,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing",Fuel Oil,Fossil Fuels,Internal Combustion Engine (Sea Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2020,31/12/2020,802.750345
Z001,Residential,Residential,LPG,Fossil Fuels,Gas Water Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,2413.851994
Z001,Residential,Residential,LPG,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,1171.638287
Z001,Residential,Residential,LPG,Fossil Fuels,"Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)",Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2020,31/12/2020,40.556536
H,Accommodation and Food Services,Commercial,Diesel,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,23.467113
A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,203.575513
"A0111, A0114, A0122",Indoor Cropping,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,305.524608
"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,227.192118
"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,281.654858
"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,281.674101
A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,194.520987
A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,4.306483
A03,Forestry and Logging,"Agriculture, Forestry and Fishing",Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,37.428408
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Refiners,Electronics and Lights,Refiners,Electronics and Lighting,Non-Transport,2020,31/12/2020,1837.641997
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Air Compressors,Electronics and Lights,Compressed Air,Electronics and Lighting,Non-Transport,2020,31/12/2020,54.976206
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Fan Systems,Electronics and Lights,Fans,Electronics and Lighting,Non-Transport,2020,31/12/2020,182.098744
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,"Pump Systems (for Fluids, etc.)",Stationary Motors,Pumping,Stationary Motive Power,Non-Transport,2020,31/12/2020,672.347224
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,539.536121
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,35.223449
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,10.143114
C16,Printing,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,
C16,Printing,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,
C16,Printing,Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,
D,"Electricity, Gas, Water and Waste Services",Industrial,Electricity,Electricity,"Pump Systems (for Fluids, etc.)",Stationary Motors,Pumping,Stationary Motive Power,Non-Transport,2020,31/12/2020,2021.296569
G41,Retail Trade - Food,Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,30.142574
G41,Retail Trade - Food,Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,141.555422
G41,Retail Trade - Food,Commercial,Electricity,Electricity,Cooking Ovens,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2020,31/12/2020,661.005755
G41,Retail Trade - Food,Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,74.904105
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,200.423829
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2020,31/12/2020,105.939629
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,381.655364
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,118.079931
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,1095.388277
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,126.394313
"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,567.716368
F36,Wholesale Trade - Food,Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,14.203262
F36,Wholesale Trade - Food,Commercial,Electricity,Electricity,Refrigeration Systems,Heat/Cooling Devices,Refrigeration,Heating/Cooling,Non-Transport,2020,31/12/2020,302.535065
F36,Wholesale Trade - Food,Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,3.547096
F36,Wholesale Trade - Food,Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,16.109919
F36,Wholesale Trade - Food,Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,15.583433
G41,Retail Trade - Food,Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,905.824866
G41,Retail Trade - Food,Commercial,Electricity,Electricity,Refrigeration Systems,Heat/Cooling Devices,Refrigeration,Heating/Cooling,Non-Transport,2020,31/12/2020,3201.703649
G41,Retail Trade - Food,Commercial,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2020,31/12/2020,13.14379
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,1015.792477
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Refrigeration Systems,Heat/Cooling Devices,Refrigeration,Heating/Cooling,Non-Transport,2020,31/12/2020,1576.197358
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2020,31/12/2020,221.273977
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,53.317092
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,211.572
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Cooking Elements,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2020,31/12/2020,416.824084
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,151.295027
H,Accommodation and Food Services,Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,1177.772563
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,9.57777
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2020,31/12/2020,317.179695
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,347.402213
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,318.941876
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,770.018946
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,182.049786
"R, S","Arts, Recreational and Other Services",Commercial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,227.508614
Z001,Residential,Residential,Electricity,Electricity,Fluorescent,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,329.810937
Z001,Residential,Residential,Electricity,Electricity,Incandescent/Halogen,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,1901.715225
Z001,Residential,Residential,Electricity,Electricity,LED,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,311.2488
Z001,Residential,Residential,Electricity,Electricity,Clothes Dryer,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Clothes Drying",Heating/Cooling,Non-Transport,2020,31/12/2020,336.283048
Z001,Residential,Residential,Electricity,Electricity,Clothes Washers,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Clothes Washing",Heating/Cooling,Non-Transport,2020,31/12/2020,637.967536
Z001,Residential,Residential,Electricity,Electricity,Dishwashers,Heat/Cooling Devices,"Low Temperature Heat (< 100 C), Dishwashers",Heating/Cooling,Non-Transport,2020,31/12/2020,679.576525
Z001,Residential,Residential,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,12365.16421
Z001,Residential,Residential,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2020,31/12/2020,1099.997522
Z001,Residential,Residential,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,4292.232711
Z001,Residential,Residential,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,5103.146976
Z001,Residential,Residential,Electricity,Electricity,Refrigeration Systems,Heat/Cooling Devices,Refrigeration,Heating/Cooling,Non-Transport,2020,31/12/2020,5466.375267
Z001,Residential,Residential,Electricity,Electricity,"Cooking Appliances, Residential Only (Cooktops/Microwaves/Ovens/Uprights)",Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2020,31/12/2020,4319.554147
Z001,Residential,Residential,Electricity,Electricity,IT and Entertainment,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,4483.615013
Z001,Residential,Residential,Electricity,Electricity,"Misc, Residential Only (Battery chargers, Pools, Pumps)",Heat/Cooling Devices,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,5011.673309
E,Construction,Industrial,Petrol,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2020,31/12/2020,11.303143
E,Construction,Industrial,Petrol,Fossil Fuels,Stationary Engine,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,0.344219
C113,Dairy Product Manufacturing,Industrial,Biogas,Renewables,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,43.968
C15,"Pulp, Paper and Converted Paper Product Manufacturing",Industrial,Fuel Oil,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,82.940773
"C114-C119, C12","Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)",Industrial,LPG,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,318.062183
"A0111, A0114, A0122",Indoor Cropping,"Agriculture, Forestry and Fishing",Coal,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,1607.491376
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,6394.000954
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,3376.530882
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,179.523821
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,321.92439
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Reformer,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,20104.06839
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,"Pump Systems (for Fluids, etc.)",Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,1161.185244
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,20.984843
"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",LPG,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,111.46608
Z001,Residential,Residential,Wood,Renewables,"Burner, with Wetback",Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,1544.713577
Z001,Residential,Residential,Wood,Renewables,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,5897.185418
P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Diesel,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2020,31/12/2020,2.534264
P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Diesel,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2020,31/12/2020,2.534264
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,2430.047089
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,41.012821
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,3.839219
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Electricity,Electricity,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,2.768749
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,272.954822
C22-C24,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,382.906583
C22-C24,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,8.235485
C22-C24,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,32.599661
C22-C24,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Industrial,Electricity,Electricity,Electric Furnace,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,79.059135
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,633.92443
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,15.213282
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2020,31/12/2020,62.266997
C25,Furniture and Other Manufacturing,Industrial,Electricity,Electricity,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2020,31/12/2020,40.549899
"O751, O752, O754, O755, O77",Public Administration and Safety,Commercial,Electricity,Electricity,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2020,31/12/2020,15.818701
"O751, O752, O754, O755, O77",Public Administration and Safety,Commercial,Electricity,Electricity,Heat Pump (for Cooling),Heat/Cooling Devices,Space Cooling,Heating/Cooling,Non-Transport,2020,31/12/2020,122.54236
"O751, O752, O754, O755, O77",Public Administration and Safety,Commercial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2020,31/12/2020,116.360745
"O751, O752, O754, O755, O77",Public Administration and Safety,Commercial,Electricity,Electricity,Electronics,Electronics and Lights,Electronics and Other Electrical Uses,Electronics and Lighting,Non-Transport,2020,31/12/2020,142.485658
